0    [main] INFO   - 	 === Sub-population #0 ===
1    [main] INFO   - 	 Initializing population...
44   [main] INFO   - 	 Mutating...
49   [main] INFO   - 	 Immigrating...
55   [main] INFO   - 	 Sorting...
32610 [main] INFO   - 	 Crossing over...
32638 [main] INFO   - 	 Sorting...
40232 [main] INFO   - 	 Culling...
40283 [main] INFO   - 	 Reporting...
40284 [main] INFO   - 	 gen=0, highest: fit=0.980640625;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 13, 15, 16, 17, 19, 22, 25, 36, 40, 41, 48, 4, 7, 9, 10, 21, 23, 31, 32, 34, 39, 44, 46, 3, 5, 11, 12, 14, 24, 28, 29, 37, 38, 42, 43]
40284 [main] INFO   - 	 gen=0, median: fit=0.918015625;[4, 8, 10, 14, 23, 24, 29, 35, 38, 45, 46, 48, 2, 5, 9, 13, 17, 25, 26, 30, 32, 34, 36, 43, 6, 7, 11, 15, 16, 18, 21, 22, 31, 39, 42, 44, 1, 3, 12, 19, 20, 27, 28, 33, 37, 40, 41, 47]
40284 [main] INFO   - 	 Mutating...
40288 [main] INFO   - 	 Immigrating...
40290 [main] INFO   - 	 Sorting...
53639 [main] INFO   - 	 Crossing over...
53645 [main] INFO   - 	 Sorting...
61246 [main] INFO   - 	 Culling...
61257 [main] INFO   - 	 Reporting...
61259 [main] INFO   - 	 gen=1, highest: fit=0.980640625;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 13, 15, 16, 17, 19, 22, 25, 36, 40, 41, 48, 4, 7, 9, 10, 21, 23, 31, 32, 34, 39, 44, 46, 3, 5, 11, 12, 14, 24, 28, 29, 37, 38, 42, 43]
61259 [main] INFO   - 	 gen=1, median: fit=0.93015625;[3, 14, 16, 18, 23, 29, 30, 31, 33, 46, 47, 48, 7, 9, 10, 12, 13, 19, 25, 27, 36, 37, 39, 41, 1, 6, 8, 15, 20, 22, 24, 26, 32, 38, 42, 45, 2, 4, 5, 11, 17, 21, 28, 34, 35, 40, 43, 44]
61259 [main] INFO   - 	 Mutating...
61263 [main] INFO   - 	 Immigrating...
61264 [main] INFO   - 	 Sorting...
74627 [main] INFO   - 	 Crossing over...
74633 [main] INFO   - 	 Sorting...
82258 [main] INFO   - 	 Culling...
82268 [main] INFO   - 	 Reporting...
82268 [main] INFO   - 	 gen=2, highest: fit=0.980640625;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 13, 15, 16, 17, 19, 22, 25, 36, 40, 41, 48, 4, 7, 9, 10, 21, 23, 31, 32, 34, 39, 44, 46, 3, 5, 11, 12, 14, 24, 28, 29, 37, 38, 42, 43]
82269 [main] INFO   - 	 gen=2, median: fit=0.93758125;[1, 10, 15, 16, 18, 31, 34, 38, 39, 41, 45, 46, 3, 5, 11, 13, 22, 23, 24, 28, 36, 37, 42, 47, 2, 7, 8, 12, 17, 21, 26, 27, 33, 35, 40, 44, 4, 6, 9, 14, 19, 20, 25, 29, 30, 32, 43, 48]
82269 [main] INFO   - 	 Mutating...
82272 [main] INFO   - 	 Immigrating...
82274 [main] INFO   - 	 Sorting...
95575 [main] INFO   - 	 Crossing over...
95581 [main] INFO   - 	 Sorting...
103209 [main] INFO   - 	 Culling...
103219 [main] INFO   - 	 Reporting...
103220 [main] INFO   - 	 gen=3, highest: fit=0.980640625;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 13, 15, 16, 17, 19, 22, 25, 36, 40, 41, 48, 4, 7, 9, 10, 21, 23, 31, 32, 34, 39, 44, 46, 3, 5, 11, 12, 14, 24, 28, 29, 37, 38, 42, 43]
103220 [main] INFO   - 	 gen=3, median: fit=0.9418593749999999;[4, 8, 10, 11, 21, 22, 30, 34, 38, 40, 43, 44, 1, 6, 9, 12, 18, 20, 23, 26, 29, 36, 39, 46, 2, 7, 13, 14, 15, 17, 27, 32, 33, 35, 47, 48, 3, 5, 16, 19, 24, 25, 28, 31, 37, 41, 42, 45]
103220 [main] INFO   - 	 Mutating...
103224 [main] INFO   - 	 Immigrating...
103225 [main] INFO   - 	 Sorting...
116555 [main] INFO   - 	 Crossing over...
116561 [main] INFO   - 	 Sorting...
124178 [main] INFO   - 	 Culling...
124188 [main] INFO   - 	 Reporting...
124188 [main] INFO   - 	 gen=4, highest: fit=0.980640625;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 13, 15, 16, 17, 19, 22, 25, 36, 40, 41, 48, 4, 7, 9, 10, 21, 23, 31, 32, 34, 39, 44, 46, 3, 5, 11, 12, 14, 24, 28, 29, 37, 38, 42, 43]
124189 [main] INFO   - 	 gen=4, median: fit=0.94628125;[1, 12, 14, 16, 20, 23, 24, 32, 34, 41, 45, 48, 3, 5, 11, 15, 17, 21, 26, 28, 33, 36, 44, 47, 4, 6, 7, 8, 19, 30, 31, 38, 39, 40, 42, 43, 2, 9, 10, 13, 18, 22, 25, 27, 29, 35, 37, 46]
124189 [main] INFO   - 	 Mutating...
124192 [main] INFO   - 	 Immigrating...
124194 [main] INFO   - 	 Sorting...
137509 [main] INFO   - 	 Crossing over...
137515 [main] INFO   - 	 Sorting...
145175 [main] INFO   - 	 Culling...
145186 [main] INFO   - 	 Reporting...
145186 [main] INFO   - 	 gen=5, highest: fit=0.980640625;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 13, 15, 16, 17, 19, 22, 25, 36, 40, 41, 48, 4, 7, 9, 10, 21, 23, 31, 32, 34, 39, 44, 46, 3, 5, 11, 12, 14, 24, 28, 29, 37, 38, 42, 43]
145187 [main] INFO   - 	 gen=5, median: fit=0.95021875;[5, 8, 9, 11, 13, 14, 27, 29, 33, 36, 47, 48, 3, 7, 10, 12, 19, 23, 25, 31, 37, 39, 41, 46, 1, 4, 6, 16, 24, 26, 30, 32, 35, 38, 42, 45, 2, 15, 17, 18, 20, 21, 22, 28, 34, 40, 43, 44]
145187 [main] INFO   - 	 Mutating...
145190 [main] INFO   - 	 Immigrating...
145192 [main] INFO   - 	 Sorting...
158522 [main] INFO   - 	 Crossing over...
158528 [main] INFO   - 	 Sorting...
166195 [main] INFO   - 	 Culling...
166205 [main] INFO   - 	 Reporting...
166205 [main] INFO   - 	 gen=6, highest: fit=0.980640625;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 13, 15, 16, 17, 19, 22, 25, 36, 40, 41, 48, 4, 7, 9, 10, 21, 23, 31, 32, 34, 39, 44, 46, 3, 5, 11, 12, 14, 24, 28, 29, 37, 38, 42, 43]
166205 [main] INFO   - 	 gen=6, median: fit=0.953140625;[5, 10, 11, 15, 18, 20, 27, 29, 31, 40, 45, 47, 2, 3, 9, 14, 25, 26, 32, 33, 36, 37, 38, 44, 4, 6, 8, 16, 17, 19, 24, 34, 35, 42, 46, 48, 1, 7, 12, 13, 21, 22, 23, 28, 30, 39, 41, 43]
166205 [main] INFO   - 	 Mutating...
166209 [main] INFO   - 	 Immigrating...
166211 [main] INFO   - 	 Sorting...
179532 [main] INFO   - 	 Crossing over...
179538 [main] INFO   - 	 Sorting...
187157 [main] INFO   - 	 Culling...
187167 [main] INFO   - 	 Reporting...
187168 [main] INFO   - 	 gen=7, highest: fit=0.980640625;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 13, 15, 16, 17, 19, 22, 25, 36, 40, 41, 48, 4, 7, 9, 10, 21, 23, 31, 32, 34, 39, 44, 46, 3, 5, 11, 12, 14, 24, 28, 29, 37, 38, 42, 43]
187168 [main] INFO   - 	 gen=7, median: fit=0.955453125;[1, 6, 12, 17, 19, 21, 27, 30, 38, 41, 43, 48, 4, 7, 9, 14, 20, 23, 25, 29, 32, 36, 46, 47, 5, 8, 13, 16, 22, 24, 26, 34, 37, 40, 42, 44, 2, 3, 10, 11, 15, 18, 28, 31, 33, 35, 39, 45]
187168 [main] INFO   - 	 Mutating...
187172 [main] INFO   - 	 Immigrating...
187174 [main] INFO   - 	 Sorting...
200542 [main] INFO   - 	 Crossing over...
200548 [main] INFO   - 	 Sorting...
208257 [main] INFO   - 	 Culling...
208269 [main] INFO   - 	 Reporting...
208269 [main] INFO   - 	 gen=8, highest: fit=0.980640625;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 13, 15, 16, 17, 19, 22, 25, 36, 40, 41, 48, 4, 7, 9, 10, 21, 23, 31, 32, 34, 39, 44, 46, 3, 5, 11, 12, 14, 24, 28, 29, 37, 38, 42, 43]
208269 [main] INFO   - 	 gen=8, median: fit=0.957703125;[8, 10, 12, 14, 19, 20, 22, 28, 37, 41, 44, 47, 1, 4, 5, 15, 23, 24, 29, 30, 32, 35, 42, 46, 2, 6, 11, 13, 17, 25, 26, 31, 36, 38, 45, 48, 3, 7, 9, 16, 18, 21, 27, 33, 34, 39, 40, 43]
208270 [main] INFO   - 	 Mutating...
208274 [main] INFO   - 	 Immigrating...
208276 [main] INFO   - 	 Sorting...
221603 [main] INFO   - 	 Crossing over...
221609 [main] INFO   - 	 Sorting...
229252 [main] INFO   - 	 Culling...
229263 [main] INFO   - 	 Reporting...
229263 [main] INFO   - 	 gen=9, highest: fit=0.98325;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 4, 15, 16, 19, 24, 25, 28, 36, 37, 40, 48, 3, 5, 11, 12, 21, 22, 23, 31, 38, 39, 42, 43, 7, 9, 10, 13, 14, 17, 29, 32, 34, 41, 44, 46]
229264 [main] INFO   - 	 gen=9, median: fit=0.96015625;[3, 5, 8, 18, 19, 23, 26, 29, 35, 42, 46, 47, 2, 7, 10, 16, 21, 27, 28, 31, 33, 40, 44, 45, 1, 11, 14, 15, 17, 20, 24, 32, 37, 39, 41, 48, 4, 6, 9, 12, 13, 22, 25, 30, 34, 36, 38, 43]
229264 [main] INFO   - 	 Mutating...
229268 [main] INFO   - 	 Immigrating...
229270 [main] INFO   - 	 Sorting...
242594 [main] INFO   - 	 Crossing over...
242600 [main] INFO   - 	 Sorting...
250346 [main] INFO   - 	 Culling...
250356 [main] INFO   - 	 Reporting...
250356 [main] INFO   - 	 gen=10, highest: fit=0.98325;[1, 6, 8, 18, 20, 26, 27, 30, 33, 35, 45, 47, 2, 4, 15, 16, 19, 24, 25, 28, 36, 37, 40, 48, 3, 5, 11, 12, 21, 22, 23, 31, 38, 39, 42, 43, 7, 9, 10, 13, 14, 17, 29, 32, 34, 41, 44, 46]
250356 [main] INFO   - 	 gen=10, median: fit=0.962234375;[6, 8, 12, 13, 20, 23, 31, 33, 35, 37, 42, 48, 3, 7, 9, 10, 19, 25, 26, 27, 36, 39, 41, 46, 1, 2, 15, 16, 22, 24, 29, 30, 32, 38, 43, 45, 4, 5, 11, 14, 17, 18, 21, 28, 34, 40, 44, 47]
250356 [main] INFO   - 	 Mutating...
250361 [main] INFO   - 	 Immigrating...
250363 [main] INFO   - 	 Sorting...
263696 [main] INFO   - 	 Crossing over...
263702 [main] INFO   - 	 Sorting...
271371 [main] INFO   - 	 Culling...
271383 [main] INFO   - 	 Reporting...
271384 [main] INFO   - 	 gen=11, highest: fit=0.983578125;[5, 8, 11, 12, 14, 23, 24, 34, 35, 40, 41, 46, 4, 6, 10, 13, 17, 25, 26, 29, 36, 38, 45, 48, 1, 2, 15, 16, 21, 27, 28, 30, 31, 33, 42, 47, 3, 7, 9, 18, 19, 20, 22, 32, 37, 39, 43, 44]
